message_type,sender_address,receiver_address,amount,transaction_flag,message_length
begging,0x8f9fa65514fb2d0de7f331f4ab61b71a9d5c4c8e,0x4ef8c0e5d45a1cd4a5790cb05bf8c66c9c2a4154,3.4929,1,118
scam,0x047bb6309fceb2336574e225ea891b132998c73f,0x4696abeaa624205b23ee2d620474b557ab013e55,11.8253,1,200
scam,0x55c9265cc6e86a6eb53b1f13feb35d2a7d10c872,0x850f05ebf28c699b1e7f2ad3e31316d86da0df78,79.191,1,187
normal,0xa475b2d1a95b8825f9bbc7b309def655febd63cc,0x1029deebc475a7fbdf24e9a015d16ca79c7f443e,5.521,1,110
normal,0xab81c87fa1c370a4cdce8a3de02aecd8246696f2,0x1820cfd86a92699b4e78a9d76f77c3658a5933d9,22.0126,1,111
normal,0x1e1bdd2a8dc587fa386779f90becc9694c9586d3,0xce5c599099a389d38c5d9c8b5481edbeba059810,9.0574,1,112
normal,0xb1744cb7ef9bc0528b331a9c8cbdd555eeda37cf,0x0e43daceb7e014b2c8f1e1dea64bf29327702718,6.8424,1,111
begging,0xb8528643b6c996c090947e88b00fe1763200c369,0x83be2f0013aec35a8fd588a7ee15b7c917e04dd7,2.5077,1,100
normal,0x6772ce2c78ad77d185e724baf3c73fc855e0c397,0x44e0a66a843ae6e9400fe1470b247f43ebb947e5,4.6639,1,162
normal,0xec6866344549e00a53d5d26842778cbce66c4fbf,0x5e6fee71739b8270ea7cd0381f5614c4ae6c616b,2.3558,1,119
normal,0x4090adfaf7d44d5fc03c7ee53f89f8fd980d5c53,0xcf4a8e2a944a50021c54e44e3c7b5bbbdde2d5ea,9.6953,1,107
begging,0xd8fa4874cb25bed9e1bcae6f5b6a74cf138b7c09,0xe07646b5a9c0364c0fa479c8b0aef5463394f25b,2.469,1,97
normal,0xdf40729a4c777b1d9ad40d16171b14b02ab33e2d,0x49fad123145b6df79e25acc55b3d80165b087361,11.4487,1,119
normal,0x9c12a87128c35c03820986e991c055e57584d3ef,0x494925fbf134057e762ac4d6cee75e6a7b75752d,20.0851,1,142
normal,0x6e48099f2ae367785462369ec4cc2002c3ef5ccf,0xa83413f6fdcb202bddffd62979a4183394f8902e,5.1486,1,161
normal,0x7f61a8d29c92ab4670b2596495c1fba623de040a,0x4243635b8b6eb610412c0629c4865f922ba329e5,13.6099,1,185
normal,0xf042cd7dc6778912ebb51fc4b38f13e33ff0add5,0x07c581fe2c377c2e8bba2a303822916fd65e1202,6.3891,1,147
normal,0x763c21c94951fd1bfad8f11a9f5277e2c4f47208,0x2f71132ccb4dcf5bd6511dc7aa3c4a3aec933a54,9.677,1,104
begging,0xb197c7367c4e5f13d0bd720cb13a62b1c378642f,0xa2d6603565bc1d7e80d563ba45ffc4e70fe46061,2.7307,1,80
begging,0x2eef5574515cd0f255c9abc80bdba0932539741d,0x46ea32dcadac96f0325bbe78f9e3d83e0bbe9698,1.5982,1,101
normal,0x3593669113abb494df92a7db47b81f8e9481d57d,0xdd3cb844362a131987198ed3a612204c9515ad3f,13.9347,1,115
normal,0xe2d13f1d5f7ecc3dbed00c9c6c197256e2305a71,0x41ff28eab79d34c6f41580e4cc6f437bcdfee4e1,5.216,1,110
normal,0xf390ca5495bcbb82a06bec48ede4c7a47f192e19,0x5c344324ef261feea77f1a891a0edaf020c500e0,7.0306,1,136
scam,0x6864e5607ce43e3daa2cbe55dc1fe6916f79a6b1,0xd777b6d615a162914ef4a82e4d87db4fceb6aa61,25.2155,1,232
normal,0xfbcb3894a456cd96661d5fc811e5dcf5e782bcee,0xfa40ca76d54202123f4b2b7c7d1b37425ef3b8d1,7.1912,1,113
normal,0xb6a290f57eabe99b52d2d4c50b4f148cc0fc91ff,0x9ff60533d68e91059329eed7a75e228cafcf3d6b,10.8256,1,143
begging,0x8556c75383e53ba6f7077d43a60ea2c2da50132d,0xe0cb3a0b26cc214d35db6f8b40ff3ae9391ca7df,5.2054,1,68
normal,0x7ba9877a5b1ad2d2e15c5a34ace63a4a0e747a74,0xd09bf72c218ad2f0cff4d9264887a2ec84b0934d,10.7547,1,130
scam,0xc98f2dc267e52c99c88f29bf8568001888e6bc63,0xe3dd4f51235f71cda6ae0596b8971f1d0a50f353,25.186,1,213
normal,0x86217a9205224ae0e7103a2c715b695c01c35d1e,0x5865bb1f20629006834c7c50e614bcd3e172a8d3,11.0801,1,98
begging,0x0b3d2327ac4a747e8a0c43536c138bef0b02ec5e,0x2253b5491589e3f29fc3241c359aa4b7690f24ad,2.9666,1,59
begging,0x6e2fa4f53acff48641482f6057e5f2d468f9ea94,0x7303765fa01d19deb6681a12d8526c7794c5152a,1.4983,0,106
normal,0x43b1a24e3e8fdef1bcea32dffc5edb3f1c14ba0c,0x33753e7542961c7811451dd738054681a1f1c63c,5.3344,1,86
scam,0x76f462003290f736062d4b8313127c9bb76014b7,0x884acc203d4f38e909fba90cef2a57f77d50f002,52.6347,1,196
normal,0x1d087c94cba5109b401630c221fc337d202f935b,0x15c59961b8b159b46eaf61215096ea8553a1ca96,4.9168,1,124
normal,0xeb27ece7abc3c16e5167fbc8c196d14d5f46bc0e,0x562051c7a81494a849087feb406553df5c247abb,4.8421,1,95
begging,0xdedab947945b7c483985e1848e086fcb60fa9e11,0x83c1c6d485bb3e18c484e58329107662a97138f4,4.2179,1,84
begging,0x49b29b164ca0d584fb45cd531b2e2719aa6ab641,0x47c38ac418a5ccae61c37b16d60694f93c7663fb,2.736,1,126
scam,0x05218ab736a1acb480665d42093ac1946fadb2bf,0x62d64ed6491c4a4e0f66a58c61b853fd4f6fb570,4.9214,1,178
scam,0x118c810c549dc5ac71cf83643c97b71937e55df3,0x83c3a9a16a21671d2a59ce4b1e575a16706f147b,6.8834,1,199
normal,0xfa0e9266b85a948bf3fc2b5d9db1939d5dfe4ebf,0x12b542e36969b81b8e9be51724e92cf14eb7d940,8.2739,1,142
begging,0x4f3571ec6ce196af1c85e9754cdafcec2afff2ce,0x801c1fa59f51e993c381558c2e071ba43d8ea214,1.78,1,52
scam,0x2df398fc7ffef97b5196e6908c3bd179b96b0802,0x56cc02a77e21aae97148015dbe9b5337415b237c,7.9562,1,159
scam,0xf8cce08fe2826cb62774e45b37a2f1f8bcdd8372,0x226b1b781ef7836f5a7d7cdccb56b66ab62abeb4,23.8833,1,195
normal,0x68d8cfb799fc25d3b3adde829bd25f319cf0ddb9,0xbbc652afbe3e912e7db714c91b14bc03b89b9f39,10.6086,1,95
scam,0x75e53e6401301e6be14cbab4904c3bb666d41ef7,0x29a080f01a27e51c51b44431720193f9faa7f5a8,21.2894,1,134
begging,0xbfff4d438befaf1738e5390036b4f26f3f017672,0xea90d5b7bfb61d64e602d0316ca573d951823603,4.2048,1,116
normal,0x2fcc4e0f7bd074e30bdd71204acce64c791a7b37,0x80f4b95cb582798e8db6f305d0cc91e31f9f0498,3.4406,1,91
normal,0xf57a9374956d2e9f6b770809eb7dd884860a7791,0x07587752f3751aa446c04fbc2976746f15e476d0,11.1687,1,127
scam,0x898d984489d5c00ebf9b50814b5d76e1c739e400,0xcee38f41acf54555ebafd899935ae3e0f923e288,33.6175,1,334
scam,0xf2cbac7758e836ef8f96c746acdae5098af51177,0xbb7cc2e8339230b648a440397cb74193a949f559,76.0112,1,219
normal,0xda4fab900c97b7c6e64b106e4c4721813066300a,0xf1d4c142e081cc872eabab0b43eeb2b4cc0b8e31,7.2378,1,142
normal,0x3e97cc537b2abc15793139f450ecaba97d44046d,0xe11acc59173d37aa4597532e1133471520fb8011,10.1301,1,94
normal,0xf5aedfdd8f374ce597456673e54cd3b09edaa8fc,0x78ab03bdeffa8ec52458117bb3697ab478ce125b,45.6161,1,63
normal,0xfc7106d6f2bf6f4c60d600176faca69bf9ca6448,0xa4542e042e58ae2851d2645860deaf55c9eb226c,6.7519,1,122
scam,0x63d659baf4fa4be5196938423fe65452df37fb57,0xba811f2320e1018197cc5c57bd159f930b3acf9e,12.5293,1,223
begging,0x6c3a88d71bf703386153621117f640d029854753,0x652b2d33a3d18b8ca6d581630a7a007febbccebe,5.931,1,93
begging,0xc3faa0f0f07bd63160ba1010d8e94d26e0b4d9f9,0x62081a17e9a81370f432a53e0bc2e039f4fe61d9,1.8867,1,95
begging,0x13a54a1840856264ba744f77fc65a181dae8fb3e,0x5d1fe85dd7073124343bcbe3d26d4952e21949a9,8.9757,1,136
begging,0x9e41f68de01adb3a590bdce4b1634febdfaf6963,0x643baaf7bc81e4b42e0b6d34a0683f961fdb3b6d,0.9875,0,94
normal,0x4e051d6ae096e86ceffa34a2770dd86f4593f393,0x0c16adadd3d59f5dc9fbabed36aadc85f2ca78a4,6.6118,1,69
begging,0x6b8ed6499988bc86d0f39da3d26fa67798db14b2,0x64211ff551e083add70e838f2cb1f3130106f0cd,3.4991,1,111
normal,0xfb72468bbaddfe74e599658ae760034126c0d512,0x66516fd65d12f3c9a67f04062fa68c9f43379d02,7.1422,1,110
scam,0xb318bb2a51cb9ed4ba2c70cb21b97cd05139324e,0xacb06288135e8155e36cd8518c309d7e4e855d19,117.3844,1,196
normal,0x9bb6f1e21b550570ab8f51b2d9c77cabe20b64cf,0xda4d5764580eaa668fdb09fd4d867cc0bf2dd29b,11.753,1,169
scam,0xfc0f01b74fbde39b297c9395495f48f71f3304d3,0x9d38e563afecda8395fe46294ea7fd284d4530f1,4.3957,1,160
scam,0x7bd4cdb378db5e5dcde14e6b90c125676a07683c,0x5e1103bc1cda251899f1430a803d0e852155485d,15.8411,1,254
scam,0x74454e14e397a6480382d07ee940e085b46fc580,0xe97ab5245cf5dc917cac6e80437ce0ef314ba6a3,0.7856,1,139
normal,0xb2a39681f0f897940affb1558c37e57f3410d997,0xafa6f1303b0889785edc2372c6e427c1b4dd64b0,2.2334,1,80
normal,0xc886de18bc25b57863405504276dbbb585bf793a,0xa279ff4623d021c97113c4653e9b95171509f7d5,6.6324,1,123
normal,0x5a7c1094792f49602e5d70c636751cc5ecd55a53,0x49c9078b9ca943940ad15940564674e4fbb142a3,9.4023,1,190
normal,0xe56c1403bb86c7a22612356b698c3c26bcdc27a9,0x2f209ae926413529f2db7dde793dfc3be080be05,4.5401,1,133
normal,0xb595df4730c90a3bbb2b4ffe7da090b8c5e71257,0x238c90f592371ca2cc05a595d35c962e0987e790,7.8325,1,121
begging,0xbb59ca52179025129850385555d59782339482db,0x72900fb8d26beed53de847a131f3ffa8cfb1b2cb,2.877,1,106
begging,0xc4d0e0c6b17cf0f7dda058cd14e0265f682870bb,0xac26d4f950e16dc2d679d7d5652c934dca9803ba,1.9986,1,142
begging,0xe4df124eeef0faaa5d18bc9feba27f5f62f4d08c,0x5b384d58b2f59d5ad2e87898158b082a35ca3655,2.5196,1,104
begging,0x479c6060eccd586152ed52cadac88e64d72af3fb,0x52503fa77d9c92966b5047427de366cd5f8bcc7d,2.1314,1,95
begging,0x54acc03bbd89b25630a764adbc4a99b5f5d131cf,0xca54b7be27c8a0c4d8087bcbb9f3b8883c234c4e,2.0245,1,111
normal,0xfb84865ba8c4f0561b39eb9c0f0506f64d012270,0x303555da9a298af777ec798d7ac950a9f54b77af,17.5738,1,163
scam,0xb37cc555e0f65ec8a62a748278250c929cd3dc52,0x771f47c64dbb37ae2b36e24ae9336af9afe0d659,45.2798,1,205
normal,0xb05b6c3037ec18b58646c92548f6ff70860d3bc4,0x16c7296bbf8cefbc6e1e84cb3a7078cf79f42e84,13.2794,1,98
normal,0x45d7a7ec0b01b1481b5886dff9151eac14fa308f,0x01a794e4bb0e5724e7b8f6cf015c5f50a63b43f9,8.8939,1,123
normal,0x55fc1c7b902a17c19bd902c0f993a7a8275410f2,0x26bc0c320750e38796b430168b13ae0d10d1b980,5.6494,1,154
normal,0x55afde8e760d80acf773f99d9d4763c49c820b62,0x4674e29db043a58b05c14fd8e2d6664e8443b13b,7.7495,1,152
begging,0x8b1f701ab9b40f86cac33a99132c58daa2c7bdfd,0x59e19f2e5120dc48e036e69180573303f4bca23e,2.2168,1,96
normal,0x49facf6fb4f6bfaf1682032be387b806ffd6190b,0xcf03e4798e7088a4bb65e602f305179bf3aaabf5,22.5072,1,120
begging,0xcd8f8987e6b9bf36ecc1c768901b2349f5deeb27,0x45db9aad7dbd3276e1c28df9726dece74c85d8ca,2.4118,1,111
normal,0x1e8b0c22aeb450e03210449daaebbd350b58ed6f,0xe35b251e8dfbc8ca1fceb473931db73972ccbe51,11.3239,1,116
normal,0x9e1faf586783b45a974c1d59f5d949848192e480,0x09ea2f30196e9141c934ee6aae3ae04aefe746cb,34.4195,1,151
begging,0x9d3bd1f6409beee34f34dc2eb342080c1f851000,0xa29063ed2c23e600a671aa74fbe1fa545adc51d4,1.6438,1,59
normal,0xee9a15ba3bbd171ab09772747304c74c521e4914,0x05b00a13ae483a8915e9f72f50b4f5f56e6e0840,15.4789,1,140
begging,0x43862cf9f30a7cbb816965d8c860b3b7b6378f50,0x93de1edc76d344d68f02bc5841731f32cb00bb6e,2.7017,1,67
scam,0xd3fd98e5b79b37820a5b18eafef6c25848db9856,0xa9933b29eaa240e79aa6627452a6500c189fd0ad,2.4843,1,250
normal,0xd58639a57bccaf4de31bbe215f8d596e42e52a85,0x3edc9d5df7c9541b1ae07be3170adc0ae2fa3888,5.064,1,110
normal,0x36f70055ab054791332c058ca69bd2f03f4663b3,0xfec111917da9e3fbc6e7c4c3aba473a5a5ee47f5,13.8695,1,160
normal,0xfb12dff7048cf6f04193ca88a362623fd7a509bb,0x8d2320572a121e7edd6f15bd58ff28431037c260,10.7132,1,104
normal,0xceefb0934688abe285ca059c788f025b88339a5f,0x1017e1cc688b83f401239bef38370ffcc759d233,13.3481,1,146
scam,0xebe18e89684cd76a8926a7ad93527eb5710e795b,0xfb65f2e4265f8086f748a4ac094ec75ed8975ab2,4.7205,1,123
scam,0xc0e03414cede160f1bb86e9f4b1fb5561610de28,0x6a6ef0108e5f7e03cd493f3a56b586242fdc27d6,10.3374,1,234
normal,0xfd59aa9b01ced6deb64c5ebb560a73c56d3ef2ae,0xde41eb92182da10f2bd90df34f69bc71dc3153d6,11.2193,1,164
begging,0xefcf30a5662f4f5279bb506c5c19a0c61520e0e8,0x423f4c2d352e18857c27a0cb9ed52fa1cf2d48e7,2.3369,1,89
normal,0x3e30e24bc5eeb636f63e6741c69b6cc7f8a214f2,0xb2001e228799757216420faf145d2990c5a12aeb,11.3124,1,95
begging,0xe83ae1a5e497789411766aa8c57c07a4ab29d3a7,0x7f583929074b725b1ed2c57aeff3531bb5c3966d,3.4776,1,92
begging,0xb5d748d6ca5ccfdd8ce5e13f4147a702d5f66d52,0x76b6e1ab4cc3f03a547a0f4b8e1ca613007eff4e,3.8385,1,79
normal,0x86820690a28899d96cf99e661cac8ebddbd47f1f,0x14584756bc6c687500b153d36ff73684cdd0f40e,9.4759,1,149
begging,0x7a90c471b4b76af3011906ee4361f1f2f69204cf,0x83d751aeb1f84efe72cfaf43fa5dbb540e95d775,2.8543,1,70
normal,0x1bfc94809b850a9e4870bdee27d6f16056e4384e,0x0a0ce39fdafbe5734f08aff115d54ea7942fd9fe,44.3908,1,132
begging,0x4a3cf09a921d8c37bd93cc6500603ffb896f2071,0x1718ce2f1c8049043c39359fd31bf584277cf7c8,7.9772,1,70
normal,0xfe8d1d39692b3f8c19aa4797b0e5b642a15e076f,0x5240bce76bc0f86db4b81dee165336cedffe9c41,8.3507,1,149
begging,0xe55ce04ade3e55903cfc7ff71c2c8a9fede664f1,0x887762dd40bfb22579a3de554d51a32bd7b82ad3,1.7863,1,75
normal,0x126f4dbbd2d1337b86d631a631c229e7de2e1991,0xf91cb0e8142c66d2f2be33cc6673c99466e817ec,18.5937,1,65
begging,0xf51000609f696a5d5eff6f2dd27bdf1519a4581e,0x30b4ef8bc5f60ccedbd36e2ea6b65f7818c11f45,3.2248,1,136
begging,0x5ab001a282a0a2661345396267b839660e1854b4,0xf2570a3a7ad0ed4f1463f87c6dca37629ffdde0e,3.6171,1,114
normal,0xdfc8170155010d07bc85b6b135fd96feb1a607f9,0x707e9b4019e4fcd3cc56a674f0cc8956c8bc1e48,3.5817,1,174
begging,0xf6f8a78a032ca8b9b1972c34e18c4f35157ddc9d,0xbb08bdc4f942386c0438a80adcca6cf31f4731d3,2.6201,1,82
normal,0xbe68f8e61244f2bf49cd1b2e7e09b72099d7da5f,0x3c726fd92fbc4376c937e99e8981c9ae2e839a0c,2.7205,1,160
normal,0x669d640d7b9e8b59c146abeb414eb51b98fe908b,0x138566db933f7479047e5ee2079bb6d134b65270,10.9457,1,128
normal,0x8033693b6f48005f673297464a3a9b8657e7f9d1,0xa19e6d62f0f777f357d7b54f1c0e5f6869fb3852,2.9562,1,102
normal,0x205db380e5208b978e3b91a24e179dd4dada3702,0x30734895596ef88ff9c79d2c9621f635542913a3,10.8219,1,129
begging,0x09c22af7c4b539551599d124f389c24fa35fb932,0x55d36cc41bb939005cfbf581c0d94f62a39afc92,2.7254,1,91
scam,0x0a8379d3cdf7833858cc7aa2996eefc281398982,0x01b2ffd7d0f886857b24f23202df1d900bab23e9,14.6872,1,116
normal,0x652a9e382452aed9a7752cf58b985bdd4a8d58ad,0x77997f7acd480374d85e500e871340514d4b81cf,9.8179,1,135
normal,0xe4802e3bb78921c91bd7c66d31c3a86ddf39f98f,0xd40cebcd417bd22c9a4023c8fcbd0376bd43b488,18.9596,1,166
normal,0xe31543f918c2fc4c998fa6c152d07f900510ff05,0xdddd74382604dcb4e763ad2c02c1504e53c06d01,11.3887,1,97
normal,0xc8f835846ba7a7f8dcd7f83715eb28c023c21958,0x94c16c00ca5783c8993898bce0c9649f59b36a80,9.7806,1,166
scam,0x7de2818ade10a561b2c935a080a45f6760f9521e,0x88b4f2b66bbfc667aa673c47176bb5d5bb9a6dab,157.7084,1,250
begging,0x21d93ce47acacdc2955bcf9c4332e075249e6bbf,0x537b65a5b38f44be715116f9d3af11879181c60a,1.632,1,83
scam,0xf940a64c3cb0cfa0e92d1509c9a9bf1ed960aec4,0x40bce567f9b10dfd7f89623fdcf49d3d711a2b63,38.2972,1,234
scam,0x1389e166ec7ad4f71cef9327493b55d6e607aeca,0x46b18c4236bee51cc9b72ff52440f7ae338a5cbb,13.0182,1,166
scam,0x29d69f0612240c771b8ed42a7daddc72f64a6145,0x2a3d3a53f8cd285e22cd3ffebea3420ca657d357,57.883,1,109
normal,0x87fa438e2edcf155106813649bbaaaaea159bf49,0x5fe4eabc1898b49688cb5185ea3b5d00a01ca849,16.781,1,115
normal,0x55de49d569a3725655ebf72f852f403f96c48409,0xbec841248f89cf45739670789223e295461f7f82,25.8329,1,122
normal,0xdf06b4178da62bcb9d072b7aabc6be90f05e0d03,0x13a1afa5702b53f91aa1812b55815d9ae67d0ac7,17.9409,1,129
normal,0x81215084a3518ecefbc7d1a6686acf47d158bc59,0x31f5a254b1e20be9f0888bc3419feb6c02dcc5aa,2.7391,1,118
normal,0xb43a8c876d11b0426cc27b293d67fdea076a4803,0x75c36846c3e60abb8c4f0168e2fe92075583431b,8.9859,1,132
begging,0xf24eeee2f883fe720e0468c6e4f2f63c584d67c4,0x1d1e32c3e979ad88193e3da09310bcf6a7e2e684,1.4159,1,106
scam,0x83af3e0d33e27c2fd67d39b59e1b7d1ccdbde330,0xdbb5150302e8162f1373f53506df0ded31a8d516,6.6775,1,199
begging,0xf0158bedf91c743679f6b8b5ab81e7e8de2dba46,0x99c298d6d5bb7cb165c8da762a2acacc773edcbd,2.6344,1,113
normal,0x6b0a164020299f355620216d3fe300ffda04c765,0x4edad1111810a988ea10403f21871fd8c9c5ead2,6.6017,1,105
scam,0x0613ea2b116a653b980415ec8b00ae9d307c2e8a,0xb7e1b1981b183979e287f42473466d70e9e99a36,11.8194,1,148
begging,0x727d91cb2f50fbc18bf807c1a9bd819307e3ccf0,0xbb6a21b9649acc9f47f3a8fa3937dc09b3327eb3,1.327,1,85
begging,0x45b35a7456f2e506d9efdccb3bb1cb65350b4923,0x8d1acdba7ec1405fcf90f835a69019c8d3985064,7.2599,1,90
normal,0x6fa172df4522893309615226af04618883df31e4,0xad8ee2a910096e7202964e3a9d4ebd92f2d4b49a,12.9386,1,156
scam,0x5e4408dcb8e22b977ad6699b1b661b4eb6f0d958,0x3969cf25d96ff06b26dd465b9d481604da1af984,17.9515,1,171
begging,0x797b732bc195f3a7fe7e7ae9ce0cf0b2beea9f57,0x837fbef8cd6de72276235e2e86a804eab93b11f2,1.881,1,104
begging,0x326bc4374ad5c9729a2e66d2ad4d2f038ed7b041,0x90decc4b4ca9554cd93457abdc567f0441d4df77,2.369,1,32
normal,0x190e0c6752dbeec616b1edd779e11c640924cefe,0xb72e0b9b8ed98738849a9f523adbe6e634493f03,5.8208,1,54
normal,0xf7f621025b8d7d09b491c5dbe809488b83be359d,0x1ec6581968b2d3a5862c5934d7dac7dea13a55f6,13.5122,1,129
normal,0x7057c0cac70bcb005c55828393f1734d1c71f386,0x7de61b36ca52720457ac86da72b2b2be27a17c65,4.5695,1,122
scam,0xc104b6149faaa4a6af663bd9b62f65359f462eec,0x2c42e26c7e3a0a0a3aedfff2203dcedf4f760a54,4.0291,1,188
scam,0xd07236a3498cbeab07b22a4e7c9182062becb53e,0xc3450cd05f52de6b77e90f667a0d4f4e98ab00ee,16.6614,1,178
normal,0x72865f22c9f917a5a4a7d8d6f7ef50dcbb325623,0xd34dd0fd87598326f0120278ac79ab6bc38d015e,5.7397,1,87
begging,0x9b50a3df6caebb26e2d017360c5932b1f0b857e2,0x05746f1006a5bc6aad92d08b7ac1f5bcd8f72c31,3.0317,1,112
normal,0x028397e9be2696fd78520d43bbf5a7293be3851e,0x60339036747465467b2c6343c3e6836798b76d66,8.9748,1,164
begging,0x39a3a2c41084cd29d3f4848242a7eaf049830a66,0x062c4b23f48d26b7866ff8b760c367e877c6a423,8.9099,1,115
normal,0x09b90dbd377a90a4b4b5a0c4d310c5dea11ec51c,0x0743f2b75788938b6a84e9d1bc8f8d80181d984b,4.3664,1,114
scam,0x0d079f1290d182e35c3a7ea70ea14702885128b7,0x48837bd29c25153d077287c4fad69a6350491509,81.104,1,127
scam,0x06c6fa2b7c4fc944af9840cb48b3f013a36e03e2,0xac8afa35429352ec8f5244e1216851fc800d64a3,4.9601,1,202
begging,0x69b49120c3825c7f315624a446f5847605f1a4c8,0xc57ec210c73cd945767d9283b0e48c658c909c9d,2.1618,1,74
normal,0xf34b79b5fa42992af147dd4b4238b11a253ea7de,0xf1ffb5f87172d07a9e754b96af139b31a5c1ec72,5.9615,1,94
normal,0xfccf660af62611ec1ff542f396f53cc98960fc78,0xa6fd4d9c88767bafad42cbe720391179d14194ca,1.5653,0,140
begging,0x25cfd926c275dbdc7aeb0abdec51ac12b1681f5f,0x41079f3264182502c1b1b4d6584998fc33358956,2.4122,1,67
normal,0x34d2dc45d38d2e01458d6e93ee6635c1771ccbad,0x8121b18f328dc66b60672c8e2398223fd55f2c40,10.656,1,128
scam,0x7696dee84773bb7cd587ac3653fae145d3da01d3,0xb9caccdb45114a35bb0ccb5154868d35a30f2418,33.1458,1,140
normal,0x6b6ebe644cfa49cec735f957b546d43c51ab9be0,0xfffe8da986a980fcd1a3a5907adce48fe7744d5e,37.7251,1,168
scam,0xb380184f8eb149f0cd1b7e0b2662aa862b06bc22,0x2641ca5951da1d1dba7f2ee6c5a3c22f00eabad4,10.354,1,202
normal,0xd0781e007b32751a900ef366a34bea4329b5674e,0xad9b6a326e77803944d34702e00bdea1edcfc594,10.9773,1,37
